median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,distance_to_coast,distance_to_los_angeles,distance_to_san_diego,distance_to_san_jose,distance_to_san_francisco
252748.86,4.9569,44.0,2090.8,422.0,1078.8,632.0,36.058131,-120.99107,174219.01,335483.26,511134.99,163521.04,228842.2
236941.56,6.7505,32.0,2109.9,659.4,2234.3,674.0,41.531786,-120.81499,39508.7,862037.76,1031738.51,475148.23,440259.54
151782.81,5.9313,28.0,6353.9,1398.2,3814.8,843.0,39.453942,-123.958173,175215.74,787411.66,965700.62,296184.56,230039.74
45367.72,0.8789,48.0,8571.0,1769.1,5341.8,1170.0,38.187256,-123.24951,83379.21,643302.13,820448.27,152172.79,86247.25
355882.61,7.7198,3.0,4101.7,1294.0,1783.4,710.0,33.982177,-122.471765,99735.53,390075.52,512873.36,377051.33,421212.49
286645.28,7.2478,7.0,6918.7,1592.8,5281.9,1244.0,33.981948,-115.702936,500000.0,233951.05,194947.04,671963.17,737026.09
182754.01,3.606,6.0,1054.8,294.4,743.1,250.0,33.051794,-123.834279,500.0,530090.75,624205.03,508467.25,540047.82
46417.02,1.3709,29.0,1077.4,348.6,939.9,196.0,40.728673,-121.363641,14111.2,792097.66,965796.08,379533.68,341324.8
260002.4,5.1835,45.0,12548.7,2265.5,2614.2,1639.0,38.210593,-124.393162,183709.57,720391.44,894894.35,240349.26,179718.94
227951.01,5.4521,14.0,3803.2,1038.2,2659.2,650.0,39.226689,-117.195909,411536.97,583097.78,723518.06,460216.21,482524.02
103594.8,3.4408,45.0,4729.2,879.4,6473.0,1440.0,32.695553,-117.986818,500000.0,152431.47,77407.56,626788.67,692974.79
258493.31,5.0129,40.0,3213.7,870.2,3501.0,1009.0,41.714144,-117.727686,290673.85,853394.18,1001358.59,603157.6,594197.22
383940.43,8.5259,19.0,12315.5,3055.9,4999.9,1674.0,40.408205,-120.568981,89469.77,736373.26,907277.37,359811.83,334012.08
500001.0,15.0,46.0,6356.0,2063.4,3572.9,1556.0,34.517222,-122.313188,98926.34,377789.39,517238.24,316181.82,361819.52
163858.65,4.8946,25.0,5300.9,1750.2,2830.6,1753.0,34.227337,-116.936638,500000.0,121562.73,168883.61,565040.4,631064.35
222384.37,5.4759,37.0,10575.4,3215.9,7299.8,1574.0,34.242343,-115.983262,500000.0,208772.13,201403.63,634206.08,699074.34
142151.86,2.7339,18.0,794.8,219.2,205.5,112.0,35.390301,-123.044684,7983.52,463667.26,617945.82,240182.36,270423.41
161505.27,3.3173,4.0,7905.8,1633.3,8394.9,1784.0,37.485186,-119.388291,274469.8,395765.31,567263.04,221533.39,268849.65
154485.09,4.1304,1.0,11109.6,2750.4,5488.5,1552.0,36.603478,-121.888485,78457.68,436023.15,610976.58,81897.66,137991.96
